question_text,source,extracted_timestamp,features,text_length,word_count,subject,topic,difficulty,exam_type,year,augmented_timestamp
What is the current repo rate set by RBI? Explain its impact on the economy.,rbi_gradeb,2025-12-01T14:46:13.375018,"{'text_length': 76, 'word_count': 15, 'sentence_count': 2, 'avg_word_length': np.float64(4.133333333333334), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': ['economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.17), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",76,15,Economics,Monetary Policy,Medium,Banking,2023,
which is the current repo rate set by RBI? Explain its impact on the economy.,augmented,2025-12-01T14:46:13.375018,"{'text_length': 76, 'word_count': 15, 'sentence_count': 2, 'avg_word_length': np.float64(4.133333333333334), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': ['economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.17), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",76,15,Economics,Monetary Policy,Medium,Banking,2023,2025-12-01T14:46:13.389063
What is the current repo rate set by RBI? Explain its impact on the economy. (Variant 1),augmented,2025-12-01T14:46:13.375306,"{'text_length': 88, 'word_count': 17, 'sentence_count': 3, 'avg_word_length': np.float64(4.235294117647059), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.13999999999999999), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",88,17,Economics,Monetary Policy,Medium,Banking,2023,
which is the current repo rate set by RBI? Explain its impact on the economy. (Variant 1),augmented,2025-12-01T14:46:13.375306,"{'text_length': 88, 'word_count': 17, 'sentence_count': 3, 'avg_word_length': np.float64(4.235294117647059), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.13999999999999999), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",88,17,Economics,Monetary Policy,Medium,Banking,2023,2025-12-01T14:46:13.389088
What is the current repo rate set by RBI? Explain its impact on the economy. (Variant 2),augmented,2025-12-01T14:46:13.375593,"{'text_length': 88, 'word_count': 17, 'sentence_count': 3, 'avg_word_length': np.float64(4.235294117647059), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.13999999999999999), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",88,17,Economics,Monetary Policy,Medium,Banking,2023,
What becomes the current repo rate set by RBI? Explain its impact on the economy. (Variant 2),augmented,2025-12-01T14:46:13.375593,"{'text_length': 88, 'word_count': 17, 'sentence_count': 3, 'avg_word_length': np.float64(4.235294117647059), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.13999999999999999), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",88,17,Economics,Monetary Policy,Medium,Banking,2023,2025-12-01T14:46:13.389111
"A person deposits Rs. 10,000 in a bank offering 6% simple interest. How much will he get after 5 years?",ibps_po_prelims,2025-12-01T14:46:13.375884,"{'text_length': 102, 'word_count': 20, 'sentence_count': 3, 'avg_word_length': np.float64(4.15), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.16833333333333333), 'technical_terms': 0.05, 'abstract_concepts': 0.0}}",103,20,Mathematics,Simple Interest,Easy,Banking,2023,
"A person deposits Rs. 10,000 in a bank offering 6% simple interest. How much will he get after 5 years? (Variant 1)",augmented,2025-12-01T14:46:13.376258,"{'text_length': 114, 'word_count': 22, 'sentence_count': 4, 'avg_word_length': np.float64(4.2272727272727275), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.14863636363636365), 'technical_terms': 0.045454545454545456, 'abstract_concepts': 0.0}}",115,22,Mathematics,Simple Interest,Easy,Banking,2023,
"A person deposits Rs. 10,000 in a bank offering 6% simple interest. How much will he get after 5 years? (Variant 2)",augmented,2025-12-01T14:46:13.376597,"{'text_length': 114, 'word_count': 22, 'sentence_count': 4, 'avg_word_length': np.float64(4.2272727272727275), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.14863636363636365), 'technical_terms': 0.045454545454545456, 'abstract_concepts': 0.0}}",115,22,Mathematics,Simple Interest,Easy,Banking,2023,
Explain the concept of Non-Performing Assets (NPAs) and their impact on banks.,sbi_po_mains,2025-12-01T14:46:13.376749,"{'text_length': 78, 'word_count': 12, 'sentence_count': 1, 'avg_word_length': np.float64(5.583333333333333), 'has_math_symbols': True, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.3500000000000001), 'technical_terms': 0.08333333333333333, 'abstract_concepts': 0.08333333333333333}}",78,12,Banking,NPAs,Medium,Banking,2023,
describe the concept of Non-Performing Assets (NPAs) and their impact on banks.,augmented,2025-12-01T14:46:13.376749,"{'text_length': 78, 'word_count': 12, 'sentence_count': 1, 'avg_word_length': np.float64(5.583333333333333), 'has_math_symbols': True, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.3500000000000001), 'technical_terms': 0.08333333333333333, 'abstract_concepts': 0.08333333333333333}}",78,12,Banking,NPAs,Medium,Banking,2023,2025-12-01T14:46:13.389185
Explain the concept of Non-Performing Assets (NPAs) and their impact on banks. (Variant 1),augmented,2025-12-01T14:46:13.376987,"{'text_length': 90, 'word_count': 14, 'sentence_count': 2, 'avg_word_length': np.float64(5.5), 'has_math_symbols': True, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.23285714285714287), 'technical_terms': 0.07142857142857142, 'abstract_concepts': 0.07142857142857142}}",90,14,Banking,NPAs,Medium,Banking,2023,
Explain the concept of Non-Performing Assets (NPAs) and their impact on banks. (Variant 4),augmented,2025-12-01T14:46:13.376987,"{'text_length': 90, 'word_count': 14, 'sentence_count': 2, 'avg_word_length': np.float64(5.5), 'has_math_symbols': True, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.23285714285714287), 'technical_terms': 0.07142857142857142, 'abstract_concepts': 0.07142857142857142}}",90,14,Banking,NPAs,Medium,Banking,2023,2025-12-01T14:46:13.389267
Explain the concept of Non-Performing Assets (NPAs) and their impact on banks. (Variant 2),augmented,2025-12-01T14:46:13.377223,"{'text_length': 90, 'word_count': 14, 'sentence_count': 2, 'avg_word_length': np.float64(5.5), 'has_math_symbols': True, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.23285714285714287), 'technical_terms': 0.07142857142857142, 'abstract_concepts': 0.07142857142857142}}",90,14,Banking,NPAs,Medium,Banking,2023,
Who was the first woman to fly in space?,ssc_cgl_tier1,2025-12-01T14:46:13.377362,"{'text_length': 40, 'word_count': 9, 'sentence_count': 1, 'avg_word_length': np.float64(3.5555555555555554), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.2), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",40,9,Science,Space Technology,Easy,SSC,2023,
Who was the first woman to fly in space? (Variant 1),augmented,2025-12-01T14:46:13.377561,"{'text_length': 52, 'word_count': 11, 'sentence_count': 2, 'avg_word_length': np.float64(3.8181818181818183), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.13999999999999999), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",52,11,Science,Space Technology,Easy,SSC,2023,
Who was the first woman to fly in space? (Variant 2),augmented,2025-12-01T14:46:13.377752,"{'text_length': 52, 'word_count': 11, 'sentence_count': 2, 'avg_word_length': np.float64(3.8181818181818183), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.13999999999999999), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",52,11,Science,Space Technology,Easy,SSC,2023,
The process of conversion of gaseous state directly to solid state is called:,ssc_cgl_tier1,2025-12-01T14:46:13.377900,"{'text_length': 77, 'word_count': 13, 'sentence_count': 1, 'avg_word_length': np.float64(5.0), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.3261538461538461), 'technical_terms': 0.07692307692307693, 'abstract_concepts': 0.07692307692307693}}",77,13,Science,States of Matter,Medium,SSC,2023,
The process of conversion of gaseous state directly to solid state becomes called:,augmented,2025-12-01T14:46:13.377900,"{'text_length': 77, 'word_count': 13, 'sentence_count': 1, 'avg_word_length': np.float64(5.0), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.3261538461538461), 'technical_terms': 0.07692307692307693, 'abstract_concepts': 0.07692307692307693}}",77,13,Science,States of Matter,Medium,SSC,2023,2025-12-01T14:46:13.389374
The process of conversion of gaseous state directly to solid state is called: (Variant 1),augmented,2025-12-01T14:46:13.378063,"{'text_length': 89, 'word_count': 15, 'sentence_count': 1, 'avg_word_length': np.float64(5.0), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.4000000000000001), 'technical_terms': 0.06666666666666667, 'abstract_concepts': 0.06666666666666667}}",89,15,Science,States of Matter,Medium,SSC,2023,
The process of conversion of gaseous state directly to solid state is called: (Variant 2),augmented,2025-12-01T14:46:13.378223,"{'text_length': 89, 'word_count': 15, 'sentence_count': 1, 'avg_word_length': np.float64(5.0), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.4000000000000001), 'technical_terms': 0.06666666666666667, 'abstract_concepts': 0.06666666666666667}}",89,15,Science,States of Matter,Medium,SSC,2023,
In which year did India win its first Cricket World Cup?,ssc_chsl_tier1,2025-12-01T14:46:13.378357,"{'text_length': 56, 'word_count': 11, 'sentence_count': 1, 'avg_word_length': np.float64(4.181818181818182), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.24), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",56,11,Sports,Cricket,Easy,SSC,2023,
In which year did India win its first Cricket World Cup? (Variant 1),augmented,2025-12-01T14:46:13.378560,"{'text_length': 68, 'word_count': 13, 'sentence_count': 2, 'avg_word_length': np.float64(4.3076923076923075), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.16000000000000003), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",68,13,Sports,Cricket,Easy,SSC,2023,
In which year did India win its first Cricket World Cup? (Variant 2),augmented,2025-12-01T14:46:13.378764,"{'text_length': 68, 'word_count': 13, 'sentence_count': 2, 'avg_word_length': np.float64(4.3076923076923075), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.16000000000000003), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",68,13,Sports,Cricket,Easy,SSC,2023,
How many types of trains are there in Indian Railways?,rrb_ntpc,2025-12-01T14:46:13.378897,"{'text_length': 54, 'word_count': 10, 'sentence_count': 1, 'avg_word_length': np.float64(4.5), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.25), 'technical_terms': 0.1, 'abstract_concepts': 0.0}}",54,10,General Knowledge,Indian Railways,Medium,Railway,2023,
How many types of trains are there in Indian Railways? (Variant 1),augmented,2025-12-01T14:46:13.379124,"{'text_length': 66, 'word_count': 12, 'sentence_count': 2, 'avg_word_length': np.float64(4.583333333333333), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.17500000000000002), 'technical_terms': 0.08333333333333333, 'abstract_concepts': 0.0}}",66,12,General Knowledge,Indian Railways,Medium,Railway,2023,
in what way many types of trains are there in Indian Railways? (Variant 1),augmented,2025-12-01T14:46:13.379124,"{'text_length': 66, 'word_count': 12, 'sentence_count': 2, 'avg_word_length': np.float64(4.583333333333333), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.17500000000000002), 'technical_terms': 0.08333333333333333, 'abstract_concepts': 0.0}}",66,12,General Knowledge,Indian Railways,Medium,Railway,2023,2025-12-01T14:46:13.389559
How many types of trains are there in Indian Railways? (Variant 2),augmented,2025-12-01T14:46:13.379337,"{'text_length': 66, 'word_count': 12, 'sentence_count': 2, 'avg_word_length': np.float64(4.583333333333333), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.17500000000000002), 'technical_terms': 0.08333333333333333, 'abstract_concepts': 0.0}}",66,12,General Knowledge,Indian Railways,Medium,Railway,2023,
The headquarters of Northern Railway is located at:,rrb_ntpc,2025-12-01T14:46:13.379469,"{'text_length': 51, 'word_count': 8, 'sentence_count': 1, 'avg_word_length': np.float64(5.5), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.21750000000000003), 'technical_terms': 0.125, 'abstract_concepts': 0.0}}",51,8,General Knowledge,Indian Railways,Easy,Railway,2023,
The headquarters of Northern Railway becomes located at:,augmented,2025-12-01T14:46:13.379469,"{'text_length': 51, 'word_count': 8, 'sentence_count': 1, 'avg_word_length': np.float64(5.5), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.21750000000000003), 'technical_terms': 0.125, 'abstract_concepts': 0.0}}",51,8,General Knowledge,Indian Railways,Easy,Railway,2023,2025-12-01T14:46:13.389600
The headquarters of Northern Railway is located at: (Variant 1),augmented,2025-12-01T14:46:13.379605,"{'text_length': 63, 'word_count': 10, 'sentence_count': 1, 'avg_word_length': np.float64(5.4), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.29000000000000004), 'technical_terms': 0.1, 'abstract_concepts': 0.0}}",63,10,General Knowledge,Indian Railways,Easy,Railway,2023,
The headquarters of Northern Railway is located at: (Variant 5),augmented,2025-12-01T14:46:13.379605,"{'text_length': 63, 'word_count': 10, 'sentence_count': 1, 'avg_word_length': np.float64(5.4), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.29000000000000004), 'technical_terms': 0.1, 'abstract_concepts': 0.0}}",63,10,General Knowledge,Indian Railways,Easy,Railway,2023,2025-12-01T14:46:13.389625
The headquarters of Northern Railway is located at: (Variant 2),augmented,2025-12-01T14:46:13.379732,"{'text_length': 63, 'word_count': 10, 'sentence_count': 1, 'avg_word_length': np.float64(5.4), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.29000000000000004), 'technical_terms': 0.1, 'abstract_concepts': 0.0}}",63,10,General Knowledge,Indian Railways,Easy,Railway,2023,
Who is the current Chief of Army Staff of Indian Army?,nda,2025-12-01T14:46:13.379862,"{'text_length': 54, 'word_count': 11, 'sentence_count': 1, 'avg_word_length': np.float64(4.0), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.24), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",54,11,Defence,Army Leadership,Medium,Defence,2023,
Who is the current Chief of Army Staff of Indian Army? (Variant 1),augmented,2025-12-01T14:46:13.380080,"{'text_length': 66, 'word_count': 13, 'sentence_count': 2, 'avg_word_length': np.float64(4.153846153846154), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.16000000000000003), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",66,13,Defence,Army Leadership,Medium,Defence,2023,
Who is the current Chief of Army Staff of Indian Army? (Variant 2),augmented,2025-12-01T14:46:13.380297,"{'text_length': 66, 'word_count': 13, 'sentence_count': 2, 'avg_word_length': np.float64(4.153846153846154), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.16000000000000003), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",66,13,Defence,Army Leadership,Medium,Defence,2023,
Who becomes the current Chief of Army Staff of Indian Army? (Variant 2),augmented,2025-12-01T14:46:13.380297,"{'text_length': 66, 'word_count': 13, 'sentence_count': 2, 'avg_word_length': np.float64(4.153846153846154), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.16000000000000003), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",66,13,Defence,Army Leadership,Medium,Defence,2023,2025-12-01T14:46:13.389720
What is the motto of Indian Navy?,cds,2025-12-01T14:46:13.380419,"{'text_length': 33, 'word_count': 7, 'sentence_count': 1, 'avg_word_length': np.float64(3.857142857142857), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.16000000000000003), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",33,7,Defence,Navy,Easy,Defence,2023,
What is the motto of Indian Navy? (Variant 1),augmented,2025-12-01T14:46:13.380608,"{'text_length': 45, 'word_count': 9, 'sentence_count': 2, 'avg_word_length': np.float64(4.111111111111111), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.12), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",45,9,Defence,Navy,Easy,Defence,2023,
What is the motto of Indian Navy? (Variant 2),augmented,2025-12-01T14:46:13.380960,"{'text_length': 45, 'word_count': 9, 'sentence_count': 2, 'avg_word_length': np.float64(4.111111111111111), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.12), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",45,9,Defence,Navy,Easy,Defence,2023,
What becomes the motto of Indian Navy? (Variant 2),augmented,2025-12-01T14:46:13.380960,"{'text_length': 45, 'word_count': 9, 'sentence_count': 2, 'avg_word_length': np.float64(4.111111111111111), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.12), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",45,9,Defence,Navy,Easy,Defence,2023,2025-12-01T14:46:13.389771
"Calculate the compound interest on Rs. 50,000 for 3 years at 8% per annum.",ibps_po_prelims,2025-12-01T14:46:13.381218,"{'text_length': 73, 'word_count': 14, 'sentence_count': 2, 'avg_word_length': np.float64(4.285714285714286), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['mathematics', 'economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.18142857142857147), 'technical_terms': 0.07142857142857142, 'abstract_concepts': 0.0}}",74,14,Mathematics,Compound Interest,Medium,Banking,2023,
"compute the compound interest on Rs. 50,000 for 3 years at 8% per annum.",augmented,2025-12-01T14:46:13.381218,"{'text_length': 73, 'word_count': 14, 'sentence_count': 2, 'avg_word_length': np.float64(4.285714285714286), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['mathematics', 'economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.18142857142857147), 'technical_terms': 0.07142857142857142, 'abstract_concepts': 0.0}}",74,14,Mathematics,Compound Interest,Medium,Banking,2023,2025-12-01T14:46:13.389836
"Calculate the compound interest on Rs. 50,000 for 3 years at 8% per annum. (Variant 1)",augmented,2025-12-01T14:46:13.381519,"{'text_length': 85, 'word_count': 16, 'sentence_count': 3, 'avg_word_length': np.float64(4.375), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['mathematics', 'economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.15208333333333335), 'technical_terms': 0.0625, 'abstract_concepts': 0.0}}",86,16,Mathematics,Compound Interest,Medium,Banking,2023,
"Calculate the compound interest on Rs. 50,000 for 3 years at 8% per annum. (Variant 2)",augmented,2025-12-01T14:46:13.381810,"{'text_length': 85, 'word_count': 16, 'sentence_count': 3, 'avg_word_length': np.float64(4.375), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['mathematics', 'economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.15208333333333335), 'technical_terms': 0.0625, 'abstract_concepts': 0.0}}",86,16,Mathematics,Compound Interest,Medium,Banking,2023,
"Calculate the compound interest on Rs. 50,000 for 4 years at 6% per annum. (Variant 4)",augmented,2025-12-01T14:46:13.381810,"{'text_length': 85, 'word_count': 16, 'sentence_count': 3, 'avg_word_length': np.float64(4.375), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['mathematics', 'economics'], 'difficulty_indicators': {'complexity_score': np.float64(0.15208333333333335), 'technical_terms': 0.0625, 'abstract_concepts': 0.0}}",86,16,Mathematics,Compound Interest,Medium,Banking,2023,2025-12-01T14:46:13.389893
What is the capital of France?,ssc_cgl_tier1,2025-12-01T14:46:13.381940,"{'text_length': 30, 'word_count': 6, 'sentence_count': 1, 'avg_word_length': np.float64(4.166666666666667), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.13999999999999999), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",30,6,Geography,World Geography,Easy,SSC,2023,
What becomes the capital of France?,augmented,2025-12-01T14:46:13.381940,"{'text_length': 30, 'word_count': 6, 'sentence_count': 1, 'avg_word_length': np.float64(4.166666666666667), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.13999999999999999), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",30,6,Geography,World Geography,Easy,SSC,2023,2025-12-01T14:46:13.389913
